theme_word,question,answer
port,What do you call a trade that whines?,whine making
garage,What do you call a nymphalid that dawns?,morning cloak
brake,What do you call a band that interrupts?,break band
horn,What do you call a serve that nets?,nett ball
football,What do you call a pitch that brakes?,braking ball
basketball,What do you call a pitch that brakes?,braking ball
tennis,What do you call a hoof that has synset('foal.n.01')?,horses foot
golf,What do you call a sport that teems?,teem sport
swimming,What do you call a descent that knows?,knows dive
running,What do you call a evil that birds?,fowl play
music,What do you call a queue that has synset('methane.n.01')?,gass line
toy,What do you call a pitch that brakes?,braking ball
ball,What do you call a pitch that brakes?,braking ball
bat,What do you call a evil that birds?,fowl play
racket,What do you call a face_lift that knows?,knows job
club,What do you call a hunt that loves?,dear hunt
net,What do you call a serve that nets?,nett ball
goal,What do you call a serve that nets?,nett ball
score,What do you call a eagle that balls?,balled eagle
team,What do you call a sport that teems?,teem sport
player,What do you call a oyster that surrenders?,cede oyster
field,What do you call a visit that quotes?,cite visit
exercise,What do you call a evil that birds?,fowl play
fitness,What do you call a trade that whines?,whine making
sport,What do you call a face_lift that knows?,knows job
race,What do you call a advertising_campaign that canvases?,sails campaign
match,What do you call a descent that knows?,knows dive
room,What do you call a wardrobe that ends?,close closet
bedroom,What do you call a furniture that has child?,babies bed
furniture,What do you call a wardrobe that ends?,close closet
door,What do you call a access that disks?,disc access
roof,What do you call a tineid that ends?,close moth
ceiling,What do you call a aggression that levels?,razing hell
stairs,What do you call a support that clothes?,clothes support
basement,What do you call a support that clothes?,clothes support
attic,What do you call a house that has synset('beech.n.02')?,beech house
garage,What do you call a nymphalid that dawns?,morning cloak
yard,What do you call a hoof that has synset('foal.n.01')?,horses foot
gate,What do you call a status that unifies?,wholly order
chair,What do you call a face_lift that knows?,knows job
table,What do you call a visit that quotes?,cite visit
bed,What do you call a furniture that has child?,babies bed
sofa,What do you call a cession that seeds?,seeding back
lamp,What do you call a serve that nets?,nett ball
mirror,What do you call a serve that nets?,nett ball
carpet,What do you call a record that spins?,whirled record
school,What do you call a education that teems?,teem teaching
teacher,What do you call a salesperson that canvases?,sails demonstrator
book,What do you call a record that spins?,whirled record
paper,What do you call a restraint that interrupts?,break pad
desk,What do you call a table that equals?,peer table
office,What do you call a face_lift that knows?,knows job
job,What do you call a face_lift that knows?,knows job
work,What do you call a face_lift that knows?,knows job
class,What do you call a record that spins?,whirled record
lesson,What do you call a education that teems?,teem teaching
test,What do you call a hunt that loves?,dear hunting
exam,What do you call a count that knows?,knows count
homework,What do you call a education that teems?,teem teaching
project,What do you call a face_lift that knows?,knows job
research,What do you call a count that knows?,knows count
study,What do you call a face_lift that knows?,knows job
learn,What do you call a affairs that spins?,whirled affairs
meeting,What do you call a visit that quotes?,cite visit
report,What do you call a evil that birds?,fowl play
interview,What do you call a form that has synset('pavement.n.01')?,route word
salary,What do you call a serve that nets?,nett ball
career,What do you call a face_lift that knows?,knows job
skill,What do you call a descent that knows?,knows dive
training,What do you call a aggression that levels?,razing hell
doctor,What do you call a evil that birds?,fowl play
exercise,What do you call a evil that birds?,fowl play
sleep,What do you call a occasion that canvases?,sails event
heart,What do you call a pump that has synset('methane.n.01')?,gass pump
brain,What do you call a occasion that canvases?,sails event
hand,What do you call a pitch that brakes?,braking ball
foot,What do you call a hoof that has synset('foal.n.01')?,horses foot
nose,What do you call a descent that knows?,knows dive
mouth,What do you call a mill that meets?,meet grinder
tooth,What do you call a mill that meets?,meet grinder
skin,What do you call a queue that has synset('methane.n.01')?,gass line
muscle,What do you call a New_World_vulture that has manchu?,qing vulture
blood,What do you call a blood that has synset('quahog.n.02')?,venus blood
patient,What do you call a occasion that canvases?,sails event
treatment,What do you call a face_lift that knows?,knows job
pain,What do you call a stitch that seeds?,sowing stitch
fever,What do you call a evidence that has synset('state.n.01')?,states evidence
cold,What do you call a bodybuilding that awaits?,wait gaining
flu,What do you call a hard_tick that loves?,dear tick
rain,What do you call a reflex that brakes?,braking wind
wind,What do you call a reflex that brakes?,braking wind
storm,What do you call a boxing_match that levers?,pries fight
spring,What do you call a amphipod that has synset('beech.n.02')?,beech flea
autumn,What do you call a occasion that canvases?,sails event
hot,What do you call a campaign that ends?,last cause
cold,What do you call a bodybuilding that awaits?,wait gaining
warm,What do you call a education that teems?,teem teaching
cool,What do you call a bodybuilding that awaits?,wait gaining
wet,What do you call a occasion that canvases?,sails event
sunny,What do you call a hunt that loves?,dear hunting
thunder,What do you call a hard_tick that loves?,dear tick
lightning,What do you call a reflex that brakes?,braking wind
hurricane,What do you call a darkling_beetle that blooms?,flower beetle
drought,What do you call a bitch that brews?,brewed bitch
ice,What do you call a mill that meets?,meet grinder
frost,What do you call a mill that meets?,meet grinder
hail,What do you call a reflex that brakes?,braking wind
mist,What do you call a effort that lets?,leased resistance
breeze,What do you call a reflex that brakes?,braking wind
gale,What do you call a reflex that brakes?,braking wind
blizzard,What do you call a status that unifies?,wholly order
blue,What do you call a tineid that ends?,close moth
white,What do you call a campaign that ends?,last cause
drawing,What do you call a needle that seeds?,sowing needle
art,What do you call a support that clothes?,clothes support
color,What do you call a darkling_beetle that blooms?,flower beetle
pink,What do you call a weather_map that wines?,wined rose
gray,What do you call a tineid that ends?,close moth
silver,What do you call a tineid that ends?,close moth
bronze,What do you call a bowling that knows?,know ball
paint,What do you call a dipterous_insect that has synset('lao.n.01')?,laos fly
canvas,What do you call a tent that has synset('hemp.n.01')?,canvass tent
sketch,What do you call a record that spins?,whirled record
sculpture,What do you call a worship that idles?,idle worship
artist,What do you call a colubrid_snake that has manchu?,qing snake
time,What do you call a bit that has synset('centrist.n.01')?,center bit
calendar,What do you call a brake that interrupts?,break system
birthday,What do you call a visit that quotes?,cite visit
holiday,What do you call a count that knows?,knows count
party,What do you call a effort that lets?,leased resistance
wedding,What do you call a affairs that spins?,whirled affairs
meeting,What do you call a visit that quotes?,cite visit
event,What do you call a occasion that canvases?,sails event
day,What do you call a status that unifies?,wholly order
minute,What do you call a bit that has synset('centrist.n.01')?,center bit
second,What do you call a bit that has synset('centrist.n.01')?,center bit
month,What do you call a status that unifies?,wholly order
celebration,What do you call a affairs that spins?,whirled affairs
ceremony,What do you call a affairs that spins?,whirled affairs
concert,What do you call a evil that birds?,fowl play
show,What do you call a evil that birds?,fowl play
performance,What do you call a bit that has synset('centrist.n.01')?,center bit
dance,What do you call a pitch that brakes?,braking ball
theater,What do you call a effort that lets?,leased resistance
movie,What do you call a basketball_shot that birds?,fowl shot
film,What do you call a basketball_shot that birds?,fowl shot
hammer,What do you call a darkling_beetle that blooms?,flower beetle
screw,What do you call a liner that crews?,crewes ship
drill,What do you call a effort that lets?,leased effort
knife,What do you call a knife that meets?,meet cleaver
fork,What do you call a business_department that canvases?,sails division
plate,What do you call a plate that braids?,plait armor
glass,What do you call a mirror that equals?,peer glass
box,What do you call a box that has synset('issue.n.02')?,serial box
bag,What do you call a plate that braids?,plait armor
basket,What do you call a hamper that ends?,close hamper
bucket,What do you call a bucket that whines?,whine bucket
rope,What do you call a queue that has synset('methane.n.01')?,gass line
chain,What do you call a status that unifies?,wholly order
key,What do you call a bit that has synset('centrist.n.01')?,center bit
zipper,What do you call a tineid that ends?,close moth
thread,What do you call a queue that has synset('methane.n.01')?,gass line
needle,What do you call a needle that seeds?,sowing needle
scissors,What do you call a friction_clutch that disks?,disc clutch
ruler,What do you call a campaign that ends?,last cause
glue,What do you call a packaging that meets?,meet packing
shirt,What do you call a nymphalid that dawns?,morning cloak
dress,What do you call a tineid that ends?,close moth
skirt,What do you call a dipterous_insect that has synset('lao.n.01')?,laos fly
jacket,What do you call a nymphalid that dawns?,morning cloak
coat,What do you call a nymphalid that dawns?,morning cloak
hat,What do you call a face_lift that knows?,knows job
cap,What do you call a cap that glances?,peeked cap
shoe,What do you call a plate that braids?,plait armor
sock,What do you call a device that signals?,signalling device
glove,What do you call a hoof that has synset('foal.n.01')?,horses foot
scarf,What do you call a nymphalid that dawns?,morning cloak
belt,What do you call a band that interrupts?,break band
suit,What do you call a campaign that ends?,last cause
jeans,What do you call a tineid that ends?,close moth
sweater,What do you call a campaign that ends?,last cause
underwear,What do you call a nymphalid that dawns?,morning cloak
jewelry,What do you call a ring that levers?,pries ring
ring,What do you call a ring that levers?,pries ring
necklace,What do you call a amphibian that toes?,toed frog
bracelet,What do you call a band that interrupts?,break band
earring,What do you call a amphibian that toes?,toed frog
sunglasses,What do you call a serve that nets?,nett ball
purse,What do you call a baggage that goes?,travelling bag
wallet,What do you call a occasion that canvases?,sails event
science,What do you call a descent that knows?,knows dive
chemistry,What do you call a affairs that spins?,whirled affairs
biology,What do you call a dove that dawns?,morning dove
atom,What do you call a affairs that spins?,whirled affairs
molecule,What do you call a packaging that meets?,meet packing
cell,What do you call a packaging that meets?,meet packing
gene,What do you call a gull that hares?,haring gull
DNA,What do you call a campaign that ends?,last cause
number,What do you call a record that spins?,whirled record
equation,What do you call a record that spins?,whirled record
formula,What do you call a mill that meets?,meet grinder
experiment,What do you call a face_lift that knows?,knows job
lab,What do you call a face_lift that knows?,knows job
test,What do you call a hunt that loves?,dear hunting
result,What do you call a occasion that canvases?,sails event
proof,What do you call a record that spins?,whirled record
energy,What do you call a drive that disks?,disc drive
force,What do you call a support that clothes?,clothes support
gravity,What do you call a business_department that canvases?,sails force
light,What do you call a reflex that brakes?,braking wind
sound,What do you call a ring that levers?,pries ring
heat,What do you call a heating_system that has synset('methane.n.01')?,gass heat
electricity,What do you call a effort that lets?,leased resistance
chemical,What do you call a packaging that meets?,meet packing
element,What do you call a trade that whines?,whine making
money,What do you call a serve that nets?,nett ball
dollar,What do you call a hoof that has synset('foal.n.01')?,horses foot
cent,What do you call a hard_tick that loves?,dear tick
coin,What do you call a eagle that balls?,balled eagle
bill,What do you call a count that knows?,knows count
bank,What do you call a aggression that levels?,razing hell
loan,What do you call a bitch that brews?,brewed bitch
debt,What do you call a possession that transfers?,transfered possession
credit,What do you call a queue that has synset('methane.n.01')?,gass line
store,What do you call a cache that disks?,disc cache
shop,What do you call a education that teems?,teem teaching
sale,What do you call a advertising_campaign that canvases?,sails campaign
buy,What do you call a hard_tick that loves?,dear tick
sell,What do you call a advertising_campaign that canvases?,sails campaign
profit,What do you call a serve that nets?,nett ball
loss,What do you call a breakdown that interrupts?,break failure
investment,What do you call a face_lift that knows?,knows job
stock,What do you call a support that clothes?,clothes support
bond,What do you call a musical_instrument that wines?,wined instrument
insurance,What do you call a chamber that has synset('lanolin.n.01')?,balm shelter
account,What do you call a record that spins?,whirled record
finance,What do you call a face_lift that knows?,knows job
